time,x ref,y ref,theta ref,v ref,omega ref
2.1715,6.95904,2.29748,0.327179,3.57017,-0.00745271,
2.17655,6.97615,2.30328,0.327141,3.57647,-0.00757228,
2.1816,6.9932,2.30907,0.327102,3.56606,-0.00765782,
2.18665,7.01024,2.31485,0.327063,3.56395,-0.00776218,
2.1917,7.02726,2.32062,0.327024,3.5576,-0.0078585,
2.19675,7.0443,2.3264,0.326983,3.564,-0.00798441,
2.2018,7.0613,2.33216,0.326942,3.55342,-0.00807371,
2.20685,7.07828,2.33792,0.326901,3.55127,-0.00818327,
2.2119,7.09523,2.34367,0.326859,3.54481,-0.00828415,
2.21695,7.11222,2.34943,0.326817,3.55133,-0.00841693,
2.222,7.12915,2.35517,0.326774,3.54056,-0.00851035,
2.22705,7.14608,2.3609,0.32673,3.53838,-0.00862558,
2.2321,7.16297,2.36662,0.326686,3.53181,-0.00873148,
2.23715,7.17987,2.37235,0.326641,3.53402,-0.00886063,
2.2422,7.19672,2.37806,0.326596,3.523,-0.00895818,
2.24725,7.21363,2.38378,0.32655,3.53417,-0.0091138,
2.2523,7.23048,2.38949,0.326504,3.52316,-0.00921419,
2.25735,7.24728,2.39518,0.326457,3.51199,-0.00931536,
2.2624,7.26413,2.40088,0.326409,3.52332,-0.0094779,
2.26745,7.28093,2.40657,0.32636,3.51216,-0.00958203,
2.2725,7.29768,2.41224,0.326311,3.50083,-0.00968698,
2.27755,7.31448,2.41792,0.326262,3.51232,-0.00985681,
2.2826,7.33123,2.42359,0.326211,3.501,-0.00996494,
2.28765,7.34794,2.42924,0.32616,3.4941,-0.0100872,
2.2927,7.36467,2.4349,0.326109,3.49642,-0.0102379,
2.29775,7.38134,2.44053,0.326056,3.48487,-0.01035,
2.3028,7.39804,2.44618,0.326003,3.4919,-0.0105192,
2.30785,7.41469,2.45181,0.32595,3.48029,-0.0106345,
2.3129,7.43133,2.45743,0.325895,3.47793,-0.0107799,
2.31795,7.44794,2.46304,0.32584,3.47084,-0.0109127,
2.323,7.46456,2.46866,0.325784,3.47322,-0.0110774,
2.32805,7.48112,2.47425,0.325727,3.46134,-0.0111989,
2.3331,7.49771,2.47985,0.32567,3.46857,-0.0113844,
2.33815,7.51425,2.48544,0.325612,3.45663,-0.0115097,
2.3432,7.53078,2.49102,0.325553,3.4542,-0.0116687,
2.34825,7.54727,2.49658,0.325493,3.44691,-0.0118135,
2.3533,7.56378,2.50215,0.325433,3.44936,-0.0119943,
2.35835,7.58022,2.5077,0.325371,3.43714,-0.0121267,
2.3634,7.59671,2.51326,0.325309,3.44458,-0.0123309,
2.36845,7.61313,2.5188,0.325246,3.43229,-0.0124676,
2.3735,7.62954,2.52433,0.325182,3.42979,-0.0126423,
2.37855,7.64592,2.52985,0.325118,3.42229,-0.0128011,
2.3836,7.66231,2.53538,0.325052,3.42482,-0.0130004,
2.38865,7.67864,2.54088,0.324986,3.41224,-0.0131453,
2.3937,7.69501,2.54639,0.324918,3.41989,-0.0133711,
2.39875,7.71131,2.55188,0.32485,3.40725,-0.0135211,
2.4038,7.72761,2.55737,0.324781,3.40469,-0.0137138,
2.40885,7.74387,2.56284,0.324711,3.39697,-0.0138887,
2.4139,7.76011,2.56831,0.324639,3.39438,-0.0140878,
2.41895,7.77632,2.57377,0.324567,3.38657,-0.0142685,
2.424,7.79254,2.57922,0.324494,3.3892,-0.0144967,
2.42905,7.8087,2.58466,0.32442,3.37611,-0.0146614,
2.4341,7.8249,2.5901,0.324345,3.38407,-0.014921,
2.43915,7.84104,2.59553,0.324269,3.37092,-0.0150919,
2.4442,7.85714,2.60094,0.324191,3.36291,-0.0152887,
2.44925,7.87325,2.60635,0.324113,3.36561,-0.015538,
2.4543,7.8893,2.61174,0.324033,3.35219,-0.0157172,
2.45935,7.90538,2.61714,0.323953,3.36035,-0.0160016,
2.4644,7.92141,2.62252,0.323871,3.34686,-0.0161877,
2.46945,7.93739,2.62788,0.323788,3.33865,-0.0164028,
2.4745,7.95339,2.63325,0.323704,3.34141,-0.0166762,
2.47955,7.96932,2.6386,0.323619,3.32764,-0.0168719,
2.4846,7.98527,2.64394,0.323532,3.33044,-0.0171556,
2.48965,8.00115,2.64927,0.323444,3.31651,-0.0173583,
2.4947,8.01707,2.6546,0.323355,3.32499,-0.0176831,
2.49975,8.03292,2.65991,0.323265,3.31099,-0.0178942,
2.5048,8.04874,2.66521,0.323173,3.30247,-0.0181391,
2.50985,8.06456,2.67051,0.32308,3.30533,-0.0184518,
2.5149,8.08032,2.67578,0.322986,3.29105,-0.0186745,
2.51995,8.0961,2.68106,0.32289,3.29395,-0.0189997,
2.525,8.11181,2.68632,0.322793,3.27951,-0.019231,
2.53005,8.12753,2.69157,0.322694,3.28244,-0.0195695,
2.5351,8.14318,2.6968,0.322594,3.26783,-0.0198098,
2.54015,8.15884,2.70204,0.322492,3.27079,-0.0201623,
2.5452,8.17444,2.70725,0.322389,3.25602,-0.0204122,
2.55025,8.19005,2.71246,0.322284,3.25902,-0.0207795,
2.5553,8.20559,2.71765,0.322178,3.24408,-0.0210396,
2.56035,8.22114,2.72284,0.322069,3.24711,-0.0214226,
2.5654,8.23663,2.728,0.32196,3.23199,-0.0216934,
2.57045,8.25213,2.73317,0.321848,3.23506,-0.0220931,
2.5755,8.26755,2.73831,0.321735,3.21978,-0.0223753,
2.58055,8.28299,2.74346,0.32162,3.22288,-0.0227926,
2.5856,8.29836,2.74858,0.321504,3.20742,-0.023087,
2.59065,8.31374,2.7537,0.321385,3.21055,-0.0235231,
2.5957,8.32905,2.75879,0.321264,3.19492,-0.0238303,
2.60075,8.34438,2.76389,0.321142,3.19809,-0.0242864,
2.6058,8.35963,2.76896,0.321018,3.18228,-0.0246076,
2.61085,8.37489,2.77403,0.320891,3.18549,-0.0250846,
2.6159,8.39008,2.77908,0.320762,3.1695,-0.0254207,
2.62095,8.40529,2.78413,0.320632,3.17274,-0.0259201,
2.626,8.42042,2.78915,0.320499,3.15657,-0.026272,
2.63105,8.43553,2.79417,0.320364,3.15328,-0.0267399,
2.6361,8.4506,2.79916,0.320227,3.14341,-0.0271628,
2.64115,8.46565,2.80415,0.320087,3.14009,-0.0276536,
2.6462,8.48065,2.80913,0.319945,3.13011,-0.0280973,
2.65125,8.49564,2.81409,0.319801,3.12675,-0.0286122,
2.6563,8.51055,2.81902,0.319654,3.10992,-0.0290155,
2.66135,8.52551,2.82397,0.319504,3.12017,-0.0296838,
2.6664,8.54039,2.82889,0.319352,3.10324,-0.0301093,
2.67145,8.55522,2.8338,0.319198,3.09294,-0.0306106,
2.6765,8.57004,2.83869,0.31904,3.08948,-0.0311928,
2.68155,8.58477,2.84355,0.31888,3.07211,-0.0316479,
2.6866,8.59955,2.84843,0.318717,3.08268,-0.0324063,
2.69165,8.61425,2.85328,0.318551,3.06522,-0.0328886,
2.6967,8.6289,2.85811,0.318382,3.05459,-0.0334574,
2.70175,8.64354,2.86293,0.318209,3.05102,-0.0341193,
2.7068,8.65809,2.86772,0.318034,3.03311,-0.0346374,
2.71185,8.67265,2.87251,0.317855,3.03674,-0.0354178,
2.7169,8.68713,2.87727,0.317674,3.01863,-0.0359641,
2.72195,8.7016,2.88202,0.317489,3.01495,-0.0366989,
2.727,8.71601,2.88676,0.3173,3.00389,-0.0373644,
2.73205,8.73041,2.89148,0.317107,3.00018,-0.0381421,
2.7371,8.74471,2.89617,0.316912,2.98154,-0.03875,
2.74215,8.75904,2.90087,0.316711,2.98532,-0.0396695,
2.7472,8.77328,2.90553,0.316508,2.96647,-0.040313,
2.75225,8.7875,2.91019,0.3163,2.96264,-0.0411814,
2.7573,8.80166,2.91482,0.316088,2.95114,-0.0419688,
2.76235,8.81581,2.91944,0.315871,2.94727,-0.042891,
2.7674,8.82986,2.92403,0.315651,2.92787,-0.0436126,
2.77245,8.84394,2.92863,0.315425,2.93181,-0.0447074,
2.7775,8.85792,2.93318,0.315195,2.91219,-0.0454744,
2.78255,8.87188,2.93773,0.314961,2.90821,-0.0465133,
2.7876,8.88575,2.94225,0.314722,2.88826,-0.0473252,
2.79265,8.89964,2.94677,0.314476,2.89231,-0.0485601,
2.7977,8.91344,2.95125,0.314227,2.87213,-0.0494263,
2.80275,8.92721,2.95572,0.313971,2.86803,-0.0505992,
2.8078,8.94089,2.96016,0.313711,2.84751,-0.0515187,
2.81285,8.95459,2.9646,0.313444,2.85167,-0.0529191,
2.8179,8.96819,2.96901,0.313172,2.83091,-0.0539026,
2.82295,8.98177,2.9734,0.312893,2.8267,-0.0552369,
2.828,8.99525,2.97776,0.312608,2.80558,-0.0562835,
2.83305,9.00876,2.98212,0.312316,2.80986,-0.0578821,
2.8381,9.02216,2.98644,0.312018,2.7885,-0.0590046,
2.84315,9.0355,2.99074,0.311713,2.77551,-0.060345,
2.8482,9.04882,2.99503,0.311401,2.77114,-0.0619215,
2.85325,9.06204,2.99928,0.311082,2.74923,-0.0631633,
2.8583,9.07524,3.00351,0.310754,2.74478,-0.0648487,
2.86335,9.08837,3.00773,0.310419,2.73141,-0.0663931,
2.8684,9.10144,3.01192,0.310076,2.71792,-0.0679885,
2.87345,9.11445,3.01608,0.309724,2.70432,-0.0696416,
2.8785,9.12744,3.02023,0.309362,2.69974,-0.071598,
2.88355,9.14031,3.02434,0.308993,2.67681,-0.0731321,
2.8886,9.15317,3.02844,0.308613,2.67216,-0.075239,
2.89365,9.16596,3.03251,0.308223,2.65817,-0.0771628,
2.8987,9.17869,3.03656,0.307824,2.64405,-0.0791604,
2.90375,9.19134,3.04057,0.307413,2.62981,-0.0812409,
2.9088,9.20393,3.04457,0.306992,2.61546,-0.0833971,
2.91385,9.21646,3.04853,0.30656,2.60097,-0.0856387,
2.9189,9.22891,3.05247,0.306115,2.58637,-0.0879755,
2.92395,9.24134,3.05639,0.305657,2.58146,-0.090747,
2.929,9.25366,3.06027,0.305188,2.55684,-0.0929364,
2.93405,9.26595,3.06413,0.304703,2.55184,-0.0959524,
2.9391,9.27813,3.06796,0.304207,2.5268,-0.0983346,
2.94415,9.29028,3.07177,0.303694,2.52172,-0.101606,
2.9492,9.30231,3.07553,0.303167,2.49624,-0.104201,
2.95425,9.31432,3.07928,0.302623,2.49107,-0.107776,
2.9593,9.3262,3.08298,0.302065,2.46516,-0.110608,
2.96435,9.33806,3.08667,0.301486,2.45991,-0.114509,
2.9694,9.3498,3.09031,0.300892,2.43355,-0.117608,
2.97445,9.36152,3.09394,0.300277,2.4282,-0.121895,
2.9795,9.3731,3.09752,0.299644,2.40139,-0.125301,
2.98455,9.38467,3.10108,0.298987,2.39595,-0.130009,
2.9896,9.3961,3.1046,0.298312,2.36868,-0.133756,
2.99465,9.40751,3.1081,0.29761,2.36315,-0.138943,
2.9997,9.41879,3.11155,0.296888,2.33541,-0.143093,
3.00475,9.42998,3.11497,0.29614,2.31852,-0.148126,
3.0098,9.4411,3.11835,0.295365,2.3015,-0.153422,
3.01485,9.45214,3.1217,0.294562,2.28433,-0.159005,
3.0199,9.4631,3.12501,0.293729,2.26701,-0.164896,
3.02495,9.47398,3.12829,0.292865,2.24954,-0.171119,
3.03,9.48477,3.13154,0.291968,2.23192,-0.177699,
3.03505,9.49543,3.13473,0.29104,2.2023,-0.183677,
3.0401,9.50605,3.1379,0.29007,2.1963,-0.192011,
3.04515,9.51654,3.14102,0.289067,2.16617,-0.198722,
3.0502,9.52694,3.1441,0.288022,2.14784,-0.206926,
3.05525,9.53725,3.14714,0.286933,2.12935,-0.215641,
3.0603,9.54748,3.15015,0.285797,2.1107,-0.224917,
3.06535,9.55762,3.15311,0.284611,2.09189,-0.234802,
3.0704,9.56761,3.15602,0.28338,2.06028,-0.243852,
3.07545,9.57751,3.15889,0.282092,2.04104,-0.254947,
3.0805,9.58732,3.16172,0.280745,2.02163,-0.266798,
3.08555,9.59704,3.16451,0.279334,2.00206,-0.279509,
3.0906,9.6066,3.16724,0.277863,1.96916,-0.291216,
3.09565,9.61607,3.16992,0.27632,1.94914,-0.305632,
3.1007,9.62544,3.17256,0.274698,1.92895,-0.321108,
3.10575,9.63473,3.17516,0.272992,1.90858,-0.337754,
3.1108,9.64384,3.1777,0.271209,1.87435,-0.353208,
3.11585,9.65287,3.18019,0.269328,1.85351,-0.372333,
3.1209,9.66179,3.18263,0.267344,1.8325,-0.392952,
3.12595,9.67055,3.18501,0.265263,1.79718,-0.412127,
3.131,9.67921,3.18734,0.263061,1.77568,-0.436,
3.13605,9.68777,3.18963,0.260728,1.754,-0.461938,
3.1411,9.69615,3.19184,0.258273,1.71756,-0.486083,
3.14615,9.70444,3.19401,0.255666,1.69538,-0.516318,
3.1512,9.71262,3.19612,0.252892,1.67302,-0.549347,
3.15625,9.72062,3.19817,0.249962,1.63542,-0.580206,
3.1613,9.72852,3.20015,0.246835,1.61253,-0.619056,
3.16635,9.73623,3.20207,0.243526,1.57407,-0.655272,
3.1714,9.74384,3.20393,0.239986,1.55066,-0.701105,
3.17645,9.75126,3.20572,0.236229,1.51131,-0.743814,
3.1815,9.75857,3.20745,0.232199,1.48737,-0.798091,
3.18655,9.76577,3.20912,0.227866,1.46322,-0.857945,
3.1916,9.77277,3.21071,0.223255,1.42262,-0.91316,
3.19665,9.77966,3.21224,0.218284,1.39791,-0.984345,
3.2017,9.78636,3.21368,0.212982,1.35638,-1.04987,
3.20675,9.79285,3.21505,0.207327,1.31426,-1.11986,
3.2118,9.79923,3.21635,0.201217,1.28863,-1.20981,
3.21685,9.8054,3.21757,0.1947,1.24553,-1.29064,
3.2219,9.81145,3.21872,0.187655,1.21931,-1.39499,
3.22695,9.81729,3.21978,0.180151,1.17523,-1.48596,
3.232,9.823,3.22077,0.172053,1.1484,-1.60351,
3.23705,9.8285,3.22168,0.163465,1.10331,-1.70063,
3.2421,9.83378,3.2225,0.154401,1.05757,-1.79489,
3.24715,9.83892,3.22325,0.144722,1.02973,-1.91666,
3.2522,9.84384,3.22392,0.13463,0.982943,-1.99834,
3.25725,9.84853,3.2245,0.124214,0.935484,-2.0625,
3.2623,9.85308,3.22502,0.113369,0.906602,-2.14754,
3.26735,9.85739,3.22546,0.102456,0.858053,-2.16099,
3.2724,9.86146,3.22584,0.0916742,0.80881,-2.13506,
3.27745,9.86528,3.22615,0.0812492,0.758864,-2.06435,
3.2825,9.86895,3.22641,0.0711422,0.728468,-2.00139,
3.28755,9.87236,3.22662,0.0618466,0.677374,-1.84072,
3.2926,9.87551,3.22679,0.0535732,0.625551,-1.6383,
3.29765,9.8784,3.22692,0.0464661,0.572986,-1.40733,
3.3027,9.88113,3.22704,0.0403528,0.540997,-1.21055,
3.30775,9.88359,3.22712,0.0355126,0.487225,-0.958467,
3.3128,9.88578,3.22719,0.0318699,0.432684,-0.721319,
3.31785,9.88768,3.22725,0.0292838,0.377365,-0.512112,
3.3229,9.8893,3.22729,0.0275723,0.321255,-0.338912,
3.32795,9.89064,3.22733,0.0265367,0.264343,-0.205059,
3.333,9.89168,3.22736,0.0259828,0.206618,-0.109681,
3.33805,9.89243,3.22737,0.0257373,0.148069,-0.0486136,
3.3431,9.89288,3.22739,0.0256597,0.0886832,-0.0153727,
3.34815,9.89314,3.22739,0.0256414,0.0525427,-0.00362755,
3.3532,9.8931,3.22739,0.0256418,-0.00820788,8.90168e-05,
3.35825,9.89306,3.22739,0.0256423,-0.00820788,8.90168e-05,
